Title|URL|Autore|Verificatore|Start date|End date|Size
Descrizione delle metriche|https://github.com/GroupRubberDuck/Documentazione/issues/91|Lorenzon|Felix, Filippo|2026-01-05|-|S
Continuare le norme progetto|https://github.com/GroupRubberDuck/Documentazione/issues/65|Lorenzon, Ana|Ana, Testolin, Filippo, Felix|2025-12-09|2026-02-24|L
Redazione dei diagrammi dei casi d'uso|https://github.com/GroupRubberDuck/Documentazione/issues/102|Lorenzon||2026-02-06|-|-
Aggiornamento Piano di qualifica|https://github.com/GroupRubberDuck/Documentazione/issues/90|Lorenzon|Filippo, Felix|2026-01-05|-|M
Aggiornamento del PdP|https://github.com/GroupRubberDuck/Documentazione/issues/85|||2025-12-15|-|M
verbale 2026-01-05|https://github.com/GroupRubberDuck/Documentazione/issues/88|Felix|Felix, Filippo|2026-01-05|2026-02-24|S
Scrittura verbale interno 2026-02-09|https://github.com/GroupRubberDuck/Documentazione/issues/103|Lorenzon|Felix|2026-02-09|2026-02-24|S
Aggiornare glossario e introdurre sezione abbreviazioni|https://github.com/GroupRubberDuck/Documentazione/issues/68|Filippo|Ana, Testolin|2025-12-09|2026-02-24|S
Scrittura verbale esterno 2026-01-13|https://github.com/GroupRubberDuck/Documentazione/issues/96|Aldo|Filippo, Felix|2026-01-13|2026-02-24|M
Scheletro del cruscotto di valutazione|https://github.com/GroupRubberDuck/Documentazione/issues/92|Lorenzon|Filippo, Felix|2026-01-05|2026-02-24|S
PdQ:Prima stesura|https://github.com/GroupRubberDuck/Documentazione/issues/84|Felix|Ana, Testolin|2025-12-15|2026-02-24|M
Scrittura verbale interno 2026-01-13|https://github.com/GroupRubberDuck/Documentazione/issues/97|Aldo|Filippo, Felix|2026-01-13|2026-02-24|M
Ricerca e definizione del PoC|https://github.com/GroupRubberDuck/Documentazione/issues/98|||2026-01-14|-|M
Ricerca tecnologie di sviluppo e deploy|https://github.com/GroupRubberDuck/Documentazione/issues/99|||2026-01-14|-|M
Ricerca tecnologie di backend|https://github.com/GroupRubberDuck/Documentazione/issues/100|||2026-01-14|-|M
Verificare Norme Progetto|https://github.com/GroupRubberDuck/Documentazione/issues/101|||2026-01-16|-|S
